record_type,dimension,example,p,p_int,mode,mode_short,target,target_x_dofs,run_status,job_id,run_id,source_group,source_case_relpath,history_source,history_status,outer_iteration,inner_iteration,inner_count,x_true_dofs,x_true_dofs_before,x_true_dofs_after,y_true_dofs_before,y_true_dofs_after,g_true_dofs,iteration_seconds,elapsed_seconds,inner_iterations,y_converged,stopped_on_empty_y_marking,refined_x,uniform_x_refinement,uniform_y_refinement,x_refinement_mode,configured_rho,effective_rho,effective_rho_available,effective_rho_reason,posteriori_factor_configured_rho,posteriori_factor_effective_rho,posteriori_improvement_factor,eta_squared,eta,posteriori_estimator_configured_rho_squared,posteriori_estimator_configured_rho,posteriori_estimator_effective_rho_squared,posteriori_estimator_effective_rho,posteriori_estimator_configured_rho_final10_loglog_slope,posteriori_estimator_configured_rho_final10_convergence_rate,posteriori_estimator_configured_rho_final10_point_count,posteriori_estimator_effective_rho_final10_loglog_slope,posteriori_estimator_effective_rho_final10_convergence_rate,posteriori_estimator_effective_rho_final10_point_count,posteriori_estimator_effective_rho_squared_final10_loglog_slope,posteriori_estimator_effective_rho_squared_final10_convergence_rate,posteriori_estimator_effective_rho_squared_final10_point_count,lambda_y_squared,lambda_y,y_estimator_squared,y_estimator,y_estimator_threshold_squared,y_estimator_threshold,y_flux_squared,y_flux,y_reconstruction_squared,y_reconstruction,divergence_residual_squared,divergence_residual,divergence_residual_l2,flux_over_reconstruction,flux_squared_over_reconstruction_squared,reconstruction_over_flux,reconstruction_squared_over_flux_squared,flux_fraction_of_y_estimator,reconstruction_fraction_of_y_estimator,divergence_over_y_estimator,divergence_squared_over_y_estimator_squared,g_estimator_enabled,g_estimator_computed,g_estimator_skipped_reason,g_solver_status,g_lambda_difference_available,g_lambda_difference_squared,g_lambda_difference,g_over_y_estimator,g_squared_over_y_estimator_squared,flux_over_reconstruction_min,flux_over_reconstruction_max,flux_over_reconstruction_avg,flux_over_reconstruction_final,reconstruction_over_flux_min,reconstruction_over_flux_max,reconstruction_over_flux_avg,reconstruction_over_flux_final,g_over_y_estimator_min,g_over_y_estimator_max,g_over_y_estimator_avg,g_over_y_estimator_final,divergence_over_y_estimator_min,divergence_over_y_estimator_max,divergence_over_y_estimator_avg,divergence_over_y_estimator_final,flux_fraction_min,flux_fraction_max,flux_fraction_avg,flux_fraction_final,g_ratio_value_count,flux_ratio_value_count,reconstruction_ratio_value_count,divergence_ratio_value_count
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,0,,,2,2,2,2,2,15,0.0879529,0.087959,1,1,0,1,0,0,adaptive,1,0.014894,1,computed_required,2.44444,1.00106,2.44186,0.00143429,0.037872099999999999,0.0035060500000000001,0.059211907586227956,0.00143581,0.037892083605945981,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.000217951,0.014763099999999999,1.3359199999999999e-06,0.0011558199999999999,0.00197489,0.044439800000000002,1.3359199999999999e-06,0.0011558199999999999,2.8674500000000001e-35,5.3548499999999997e-18,9.9552900000000008e-35,9.9776199999999995e-18,9.97762e-18,215845448518632.62,4.6589129714554739e+28,4.6329445761450749e-15,2.1464234385292534e-29,1,4.6329445761450749e-15,8.63250333096849e-15,7.4520105994370936e-29,1,1,not_skipped,success,1,7.0725099999999998e-08,0.00026594200000000002,0.230089460296586,0.052941119228696334,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,1,,,2,2,3,2,2,30,0.0633774,0.156867,1,1,0,1,0,0,adaptive,1,0.0130922,1,computed_required,2.44444,1.00082,2.44244,0.0014339699999999999,0.0378678,0.0035052600000000001,0.059205236254912454,0.0014351500000000001,0.037883373661805782,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00021794199999999999,0.014762900000000001,1.03753e-06,0.00101859,0.0019744300000000001,0.044434599999999998,1.03753e-06,0.00101859,7.8315499999999998e-34,2.79849e-17,1.1232700000000001e-34,1.0598400000000001e-17,1.05984e-17,36397843122541.086,1.3248079882015692e+27,2.7474155450181132e-14,7.5482636646651182e-28,1,2.7474155450181132e-14,1.040497157835832e-14,1.0826385743062852e-28,1,1,not_skipped,success,1,2.2984800000000001e-07,0.000479424,0.4706741672311725,0.22153383516621206,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,2,,,3,3,5,4,4,54,0.0671135,0.228874,1,1,0,1,0,0,adaptive,1,0.0299761,1,computed_required,2.44444,1.0041,2.43447,0.00123774,0.035181499999999997,0.0030255799999999999,0.055005272474554653,0.00124281,0.035253510463498526,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00032835900000000002,0.0181207,4.0214500000000003e-06,0.0020053599999999999,0.0016419,0.040520399999999998,4.0214500000000003e-06,0.0020053599999999999,3.7601499999999999e-35,6.1320000000000002e-18,8.6964700000000001e-34,2.9489799999999998e-17,2.94898e-17,327031963470319.62,1.0694919085674775e+29,3.0578050823792238e-15,9.3502343682005237e-30,1,3.0578050823792238e-15,1.4705489288706269e-14,2.1625209812381107e-28,1,1,not_skipped,success,1,2.3085099999999999e-06,0.0015193800000000001,0.75765947261339617,0.57404916137214179,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,3,,,5,5,9,8,8,78,0.0697548,0.303628,1,1,0,1,0,0,adaptive,1,0.0292686,1,computed_required,2.44444,1.00391,2.43491,0.00123722,0.0351741,0.0030243100000000001,0.054993726914985497,0.0012420599999999999,0.035242871619662323,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00032818000000000002,0.018115699999999998,3.8397900000000002e-06,0.0019595400000000001,0.00164123,0.040512100000000002,3.8397900000000002e-06,0.0019595400000000001,9.6013300000000004e-35,9.7986400000000001e-18,1.31279e-33,3.6232399999999998e-17,3.62324e-17,199980813663937.03,3.999227190399663e+28,5.0004797044204251e-15,2.5004830993361615e-29,1,5.0004797044204251e-15,1.8490257917674554e-14,3.418910930024819e-28,1,1,not_skipped,success,1,2.6501599999999998e-06,0.0016279300000000001,0.8307715075987222,0.69018357774774131,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,4,,,9,9,16,16,16,129,0.0710749,0.37983,1,1,0,1,0,0,adaptive,1,0.0293782,1,computed_required,2.44444,1.00394,2.43484,0.00121082,0.034796899999999999,0.0029597899999999999,0.054403952062327239,0.0012156000000000001,0.034865455683240398,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00034143500000000001,0.018478000000000001,3.7225599999999999e-06,0.00192939,0.0015972200000000001,0.039965199999999999,3.7111100000000002e-06,0.00192643,1.14432e-08,0.00010697299999999999,4.0065199999999999e-33,6.3297100000000005e-17,6.32971e-17,18.008562908397447,324.30701202460853,0.055529139392555139,0.0030834979291909964,0.99846583635242225,0.055443948605517802,3.2806793857125827e-14,1.0762808389925213e-27,1,1,not_skipped,success,1,3.0745399999999998e-06,0.00175344,0.90880537371915471,0.82592087165821371,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,5,,,16,16,22,30,30,225,0.0771268,0.465008,1,1,0,1,0,0,adaptive,1,0.0463092,1,computed_required,2.44444,1.00933,2.42185,0.0010688099999999999,0.032692600000000002,0.0026126399999999998,0.051113990257071494,0.0010787800000000001,0.032844786496489822,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00038119199999999998,0.019524099999999999,7.2329599999999998e-06,0.0026894200000000001,0.00137441,0.037073099999999998,6.0203900000000001e-06,0.0024536499999999999,1.2125700000000001e-06,0.0011011700000000001,9.8582300000000006e-33,9.92886e-17,9.92886e-17,2.2282208923236193,4.9649834648721312,0.44878853952275183,0.20141053984874735,0.91233425794409195,0.40944515917930263,3.6918220285414698e-14,1.3629592863779146e-27,1,1,not_skipped,success,1,4.9455399999999997e-06,0.0022238599999999998,0.82689204363766156,0.68375049772154139,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,6,,,22,22,40,42,42,315,0.0892253,0.559257,1,1,0,1,0,0,adaptive,1,0.046919,1,computed_required,2.44444,1.00956,2.42129,0.0010422599999999999,0.032284,0.0025477299999999998,0.050475043338267675,0.00105222,0.032437940748450723,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00038915599999999999,0.019727000000000001,7.1009400000000003e-06,0.00266476,0.00133252,0.0365037,5.7874200000000004e-06,0.0024057100000000001,1.3135199999999999e-06,0.00114609,2.0839800000000001e-32,1.4435999999999999e-16,1.4436e-16,2.0990585381601794,4.4060387356111823,0.47640405535164254,0.22696123661320586,0.90278674252090252,0.43009126525465707,5.4173734219967276e-14,2.9347945483274046e-27,1,1,not_skipped,success,1,4.8659299999999998e-06,0.0022058799999999999,0.82779687476545727,0.68525153007911621,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,7,,,40,40,63,78,78,579,0.105945,0.670368,1,1,0,1,0,0,adaptive,1,0.0783164,1,computed_required,2.44444,1.02447,2.38605,0.00078645400000000002,0.028043800000000001,0.0019224400000000001,0.043845638323555057,0.00080570100000000003,0.02838487273179149,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00041509400000000002,0.0203739,1.1634000000000001e-05,0.0034108699999999999,0.00095150300000000003,0.0308464,1.1629400000000001e-05,0.00341019,4.64209e-09,6.8132899999999999e-05,1.6374e-31,4.0464699999999998e-16,4.04647e-16,50.052030663600114,2505.2077835630075,0.019979209369565917,0.00039916848676629918,0.99980063737404246,0.019975226261921445,1.1863454192038982e-13,1.4074265085095409e-26,1,1,not_skipped,success,1,1.0374799999999999e-05,0.0032209999999999999,0.944333850307986,0.89176551487020794,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,8,,,63,63,97,124,124,894,0.108105,0.783855,1,1,0,1,0,0,adaptive,1,0.0882002,1,computed_required,2.44444,1.03026,2.37264,0.00068227499999999998,0.026120399999999998,0.00166778,0.040838462262920726,0.00070292399999999995,0.026512713931244384,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00039847400000000001,0.019961799999999998,1.1688800000000001e-05,0.0034188899999999999,0.00080840899999999995,0.028432499999999999,1.0083e-05,0.0031753800000000002,1.6058200000000001e-06,0.00126721,3.2205900000000001e-31,5.6750199999999999e-16,5.67502e-16,2.5058040892985378,6.2790350101505767,0.39907349671535369,0.15926014083110188,0.92877512876986401,0.3706495383004425,1.6599013129992483e-13,2.7552785572513856e-26,1,1,not_skipped,success,1,9.0970499999999996e-06,0.0030161300000000001,0.88219568339431809,0.77827065224830594,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339162,20260701_091323_471269_job24339162,snellius_next_mem216,algorithm_data_ordered/2d/boundary_singularity/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,9,,,97,97,133,192,192,1308,0.127501,0.916793,1,1,0,1,0,0,adaptive,1,0.174169,1,computed_required,2.44444,1.09708,2.22814,0.00042099100000000001,0.020518100000000001,0.0010290900000000001,0.032079432663312486,0.00046186000000000003,0.021490928318711595,-0.39435745003690781,0.39435745003690781,10,-0.35315959790043128,0.35315959790043128,10,-0.70631919580086255,0.70631919580086255,10,0.00030004599999999999,0.017321799999999998,2.08429e-05,0.0045653999999999998,0.000474745,0.021788600000000002,1.24883e-05,0.0035338800000000001,8.3545400000000005e-06,0.0028904199999999999,8.9958799999999997e-31,9.4846599999999994e-16,9.48466e-16,1.2226181662180584,1.4947920531830596,0.81791685060047303,0.66898937405411463,0.77405703771849133,0.63311429447584,2.077509090112586e-13,4.3160404742142404e-26,1,1,not_skipped,success,1,1.0779500000000001e-05,0.0032832199999999999,0.71915275769921583,0.51717851162746076,,,,,,,,,,,,,,,,,,,,,,,,
